FECHA_CORTE;ITEM;CLUB;DISCIPLINA_DEPORTIVA;AFILIADO;RESOLUCION_INSCRIPCION_PRIMIGENIA;FECHA_REGISTRO;OBSERVACIONES
31072025;1;CLUB DEPORTIVO “CLUB TORTUGAS DE ACTIVIDADES SUBACUÁTICAS”;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 050-DNCTD-RND-2005;21/03/2005;Resolución Nº0861-2024-RENADE-DNCTD/IPD, periodo del 03 de enero del 2022 al 02 de enero del 2026
31072025;2;CLUB DEPORTIVO “ASOCIACIÓN PERUANA DE DEPORTES SUBMARINOS”;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 151-DNCTD-RND-2005;22/07/2005;
31072025;3;CLUB RASCAPLAYAS DE ACTIVIDADES SUB-ACUÁTICAS”;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 233-DNCTD-RND-2006;26/05/2006;"Resolución Nº0211-2022-IPD-DNCTD/SRND. 
periodo del 14 de octubre del 2020 al 13 de octubre del 2022"
31072025;4;CASINO NÁUTICO DE ANCÓN;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 409-DNCTD-RND-2006;31/08/2006;
31072025;5;CLUB DE REGATAS LIMA;ACTIVIDADES SUBACUATICAS;SI;Resolución Nº0447-2022-IPD-DNCTD/SRND;26/07/2022;Resolución Nº0633-2024-RENADE-DNCTD/IPD, periodo 28 de abril de 2024 al 27 de abril de 2026
31072025;6;ASIAMAR;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 323-DNCTD-RND-2008;13/08/2008;
31072025;7;CLUB DE PESCA SUBMARINA PUNTA ROCAS;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 509-DNCTD-RND-2008;19/12/2008;"Resolución Nº0188-2024-RENADE-DNCTD/IPD.
periodo del 15 de diciembre de 2023 al 14 de diciembre de 2026 (03 años)"
31072025;8;ASOCIACIÓN CIVIL DEPORTIVA CLUB DE BUCEO NAUTILUS;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 137-DNCTD-RND-2009;16/03/2009;
31072025;9;ASOCIACIÓN INTERNACIONAL DE SOCORRISTAS ACUÁTICOS Y ACTIVIDADES SUB ACUÁTICAS WORLD AQUATIC SPORT W.A.S.;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 148-DNCTD-RND-2009;20/03/2009;Resolución Nº0581-DNCTD-RND-2019, periodo 2014-2019 (elegida el 15 de agosto de 2014)
31072025;10;YACHT CLUB PUCUSANA;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 052-DINADAF-RND-2013;14/02/2013;
31072025;11;CLUB DEPORTIVO DE PESCA SUBMARINA Y ACTIVIDADES SUBACUÁTICAS LOBOS DE PUNTA DE COLES;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 169-DINADAF-RND-2013;22/07/2013;Resolución Nº0416-DNCTD-RND-2019, periodo 29 de setiembre de 2017 al 28 de setiembre de 2019
31072025;12;CIRCOLO SPORTIVO ITALIANO-SOCIETA CANOTTIERI ITALIA;ACTIVIDADES SUBACUATICAS;SI;Resolución N° 304-DINADAF-RND-2013;21/11/2013;Resolución Nº0779-2024-RENADE-DNCTD/IPD, periodo 27 de mayo de 2024 al 26 de mayo de 2026
