Item;Tipo de resolución;N° de resolución;Año;Fecha;Organización Deportiva;Distrito;Provincia;Dpto;Base legal;Procedimiento;Afiliación;Disciplina;Lugar de registro;N° partida;Caja;PQTE;Observación 1;Observación 2
1;DIRECCION EJECUTIVA;169-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLETICO RELAMPAGO;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0917-92-86;177;169-185;;
2;DIRECCION EJECUTIVA;170-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL CULTURAL LOS RANGERS;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0916-92-86;177;169-185;;
3;DIRECCION EJECUTIVA;171-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SAN FRANCISCO DE BORJA;SAN BORJA;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN BORJA;FUTBOL;LIBRO DE CLUBES RDIPD;0906-91-86;177;169-185;;
4;DIRECCION EJECUTIVA;172-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ROSELLA F.C.;SAN BORJA ;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN BORJA;FUTBOL;LIBRO DE CLUBES RDIPD;0907-91-86;177;169-185;;
5;DIRECCION EJECUTIVA;173-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO DEFENSOR LAS PALMAS;SANTIAGO DE SURCO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SANTIAGO DE SURCO;FUTBOL;LIBRO DE CLUBES RDIPD;0912-92-86;177;169-185;;
6;DIRECCION EJECUTIVA;174-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ESOFAP;SURCO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SANTIAGO DE SURCO;FUTBOL;LIBRO DE CLUBES RDIPD;0913-92-86;177;169-185;;
7;DIRECCION EJECUTIVA;175-DE-IPD-86;1986;;SOLO ANTECENTES;;;;;;;;;;;;;
8;DIRECCION EJECUTIVA;176-DE-IPD-86;1986;;SOLO ANTECENTES;;;;;;;;;;;;;
9;DIRECCION EJECUTIVA;177-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL PALAO F.B.C.;SAN MARTIN DE PORRES;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN MARTIN DE PORRES;FUTBOL;LIBRO DE CLUBES RDIPD;0908-91-86;177;169-185;;
10;DIRECCION EJECUTIVA;178-DE-IPD-86;1986;;SOLO ANTECENTES;;;;;;;;;;;;;
11;DIRECCION EJECUTIVA;179-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO FRA BOYS;SAN JUAN DE LURIGANCHO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE SAN JUAN DE LURIGANCHO;FUTBOL;LIBRO DE CLUBES RDIPD;0915-92-86;177;169-185;;
12;DIRECCION EJECUTIVA;180-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO RADES;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0918-92-86;177;169-185;;
13;DIRECCION EJECUTIVA;181-DE-IPD-86;1986;30/09/1986; CLUB DEPORTIVO JUVENTUD SANTA ROSA;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0920-92-86;177;169-185;;
14;DIRECCION EJECUTIVA;182-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ROSARIO CENTRAL;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0919-92-86;177;169-185;;
15;DIRECCION EJECUTIVA;183-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO DEFENSOR JUNIOR;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGAS DISTRITALES DE FUTBOLY VOLEIBOL DE VILLA EL SALVADOR ;FUTBOL Y VOLEIBOL;LIBRO DE CLUBES RDIPD;0921-92-86;177;169-185;COPIA;
16;DIRECCION EJECUTIVA;184-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLETICO REAL ESTRELLA;VILLA EL SALVADOR;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE VILLA EL SALVADOR;FUTBOL;LIBRO DE CLUBES RDIPD;0922-92-86;177;169-185;;
17;DIRECCION EJECUTIVA;185-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL JUAN VELASCO ALVARADO;CHOSICA-LURIGANCHO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL AMATEUR DE LURIGANCHO;FUTBOL;LIBRO DE CLUBES RDIPD;0914-92-86;177;169-185;;
18;DIRECCION EJECUTIVA;186-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO RAMON CASTILLA;VILLA MARIA DEL TRIUNFO;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA EXPERIMENTAL DE FUTBOL DE SAN GABRIEL ALTO VALLECITO;FUTBOL;LIBRO DE CLUBES RDIPD;0923-93-86;178;186-201;;
19;DIRECCION EJECUTIVA;187-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SAN JOSE;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE ATE - VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0832-84-86;178;186-201;;
20;DIRECCION EJECUTIVA;188-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SANTO DOMINGO ;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE ATE - VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0833-84-86;178;186-201;;
21;DIRECCION EJECUTIVA;189-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ESTUDIANTES SANTA ELENA;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE ATE - VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0834-84-86;178;186-201;;
22;DIRECCION EJECUTIVA;190-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL Y CULTURAL LOS TOPACIOS;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE ATE - VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0835-84-86;178;186-201;;
23;DIRECCION EJECUTIVA;191-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNION CULTURAL JUVENTUD VIQUES;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE ATE - VITARTE;FUTBOL;LIBRO DE CLUBES RDIPD;0836-84-86;178;186-201;;
24;DIRECCION EJECUTIVA;192-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO DEFENSOR MONTECRISTO;ATE VITARTE;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LA MOLINA;FUTBOL;LIBRO DE CLUBES RDIPD;0837-84-86;178;186-201;;
25;DIRECCION EJECUTIVA;193-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNION TINGO MARIA;BREÑA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BREÑA;FUTBOL;LIBRO DE CLUBES RDIPD;0838-84-86;178;186-201;;
